document_id,clean_text,sentiment
1,confidently directed dark brooding packed impressive action sequence complex story dark knight includes careerdefining turn heath ledger well oscar worthy performance tdk remains best batman movie comic book movie ever created,positive
2,got see dark knight wednesday night reason though im writing movie comment late didnt wanna jump say movie awesome wanted think still today cant stop thinking movie dark knight life hype go beyond batman movie go batman movie gone gave u real sold story finally told villain way injustice world get underneath batman skin believe people still faith good earth heath ledger absolutely loved jack nicolson performance film first read heath signed onto dark knight like kidding see dark knight heath incredible im going compare jack heath performance two different version joker heath joker definitely scary intense two nomination didnt know going next crazy also charismatic point could relate character worst part he crazy he driving gotham crazy treating everyone like little puppet string control guess well smile face much batman film much comic book film dark knight truly delivers drama action romance horror dark humor study psychopathic killer detective story force behind epic movie christopher nolan who previous film batman begin didnt really thrill incredible film making truly shown dark knight shot got gotham city absolutely fantastic made feel part city part batman story one thing absolutely loved dark knight normally comic book movie know real people dont dress costume save day villain dont name crazy name dress make crazy costume dark knight actually make seem incredibly real like could happenbruce wayne still learning double life batman lost rachel new district attorney harvey dent he inspiring others dressing batman trying take villain city thing much worse joker waltz town he going bring hell upon gotham city constantly playing gothams mind trying get batman reveal batman never dealt psychopathic genius joker named classy villain gotham need also brought new thought batman head actually alike different batman completes joker would nothing without batman relying harvey dent gothams white knight trying put gothams scum jail joker play batman commissioner gordon harvey rachel find horrific position harvey must discover die hero live long enough become villainall performance dead movie everyones going crazy heath ledger performance one performance would also love credit aaron eckhart play harvey denttwo face performance great heath made two face human villain could understand hatred vengeance happened became two face know everyone saying truly mean say one best movie seen long time great movie past year think dark knight seriously something special dont wanna build much since people go theater expecting word opinion though great movie cant come word describe incredibly powerful movie honest would go rating could batman film waiting ive seen twice one weekend im going see three time upcoming week dont mind one bit cant wait sequel would like say rip heath wish could seen breath taking performance joker,positive
3,dark yes complex ambitious christopher nolan cowriter jonathan nolan deserve standing ovation dont usually go loud movie filled mindless gore violence dark knight certainly loud violent mindless depth soul even joker extraordinary creation heath ledger deeply human natural petulance christian bale make ego alter ego fascinating complex film superheroes part genius movie batman screen time really lead attention captivated heath ledger determines inspires breathtaking atmosphere envelope gotham well u aplomb christopher nolan director mind blowing secret believe obvious respect audience he done elevate popular genre shakesperean proportion bravo,positive
4,pleasure watch movie imax theatre london advertises slogan biggest screen uk one greatest movie experience life first movie imax theatre recommend anyone chance watch even entire movie shot imax theatre still able blow someone away great visuals combined great story superb actingthe movie could also called joker even heath ledger great performance still batman movie dark knight clear enough even without batman title simply loved movie heard complaint friend seems might problem depiction character loved heath ledger would wanted see even crazier plot thread especially done character aaron eckhart although see might problem fan comic book still stand vote best batman movie ever hopefully nolan bale make next one,positive
5,movie work art finest sequel ever made dont think see another movie like long time heath ledger joker best movie charachter ever seen far avenger endgame great dark knight much better best batman ever best joker ever best dc movie ever best superhero movie ever ando best movie ever,positive
6,couldnt believe dark knight could live hype thats perhaps biggest surprise secret believe stunning mature intelligent script make best superhero movie ever made wasnt enough heath ledger newest tragic modern icon present u preview something well never see fearless extraordinary actor capable fill humanity even grotesque villain performance master class fortunately christian bale batman almost supporting character bale good something around mouth stop great dark knight visually stunning powerful moving else could anyone want,positive
7,think could wax lyrical movie day absolutely incredible start finishthis batman trilogy second outing filled hardhitting action almost every scene absolutely enthralling watch story really good twist turn keep viewer constantly toe especially third act movie many memorable scene packed throughout movie many quote idea sprinkled throughout probably could analyze hoursbecause action story incredible dynamic batman joker really make movie contrast two right wrong chaos anarchy versus order joker perfect villain batman batman literally said movie symbol essence idea batman centered around order rule moral code embodyment right joker challenge core foundation batman stand someone doesnt follow rule pure chaos anarchy personified perfectly state third act movie hanging upside building happens unstoppable force meet immovable object joker want batman go moral break rule powerful thing also see joker way point also add another layer character dynamic two truly amazing battle brilliant acting heath ledger major part absolutely incredible joker rest peacei could probably go great think movie ill say watch movie watch first movie trilogy first something absolutely dont want still think see movie great,positive
8,want best movie great story great acting thrilling twist watched joker come back give dark knight thanks heath ledger exceptional performs,positive
9,christopher nolans second bundle joy dark knight exceeded expectation success reboot batman franchise took already established expanded amped gave deeper darker brooding story gripping suspense likely catch guard several time throughout christian bale delf deeper batman sworn fight evil injustice though also quite reluctant uncertain crusade ever end cleanse inner turmoil fractured soul due murder beloved parent help trusted butlerally alfred played superbly michael cane ground give moral support keep check real star show heath ledger batman deadly enemy joker honestly tell good jack nicholson batman child play compared joker sadistic psychotic downright scarier psychologically disturbing previous incarnation clown prince crime ledger give justice along original cast come fresh face aaron eckhart maggie gyllenhaal must say though liked katie holmes gyllenhaal give much better performance far cry damselindistress stereotype though there little thankfully thats common film bale gyllenhall much better chemistry time around holmes even better fight sequence vastly improved feature brutal bone crushing combat begin addition new technology batman disposal also worth mentioning screenwriter jonathan nolan give film added frosting already delicious cake simply put dark knight totally bad a begin action great plot deeper engrossing applaud christopher nolan christian bale especially heath ledger sadly passed away earlier year aboard believing mr nolans talent second installment although may feel bit melancholy ledger death final note say sincerely heart remember heath ledger honor mind heart performance human father daughter matilda ledger may issue best wish family friend daughter year come remember honor role past role incredible individual talented actor rest peace heath ledger,positive
10,although dont think fourth best movie ever made rated according imdb think stand head shoulder superhero peer mainly superhero movie batman mere mortal lot time train physically money design nifty gadget useseverybody earth seen film use regurgitating plot think heath ledger rendition joker masterpiece every time leaf screen keep waiting come back ledger best actor oscar rather supporting actor really two leading man film bale batman ledger joker always liked jack nicholsons rendition joker film directed tim burton ledger blow nicholsons performance away maybe nicholsons joker past explanation behavior maybe nicholsons joker seems wild side real jack nicholson heath ledger never step character entire film ledger joker like devil decides become incarnate unlike ray millands devil alias nick beal show true self somebody want break spirit people turn one another wantonly destroy property people whatever thats reinforced police find name past print dna even label clothes arrest past great big question mark like michael caines alfred good someone relevant past combat guerrilla experience wise father figure wayne role rather kindly museum piece likewise morgan freeman pitch perfect lucius wayne version q somebody invents gadget run business since really wayne mind freeman give performance perfect balance humor business acumen conscience finally like fact rachel bruce wayne love interest played someone unrealistic shes cute girl attribute lie mind heart wellthe negative think harvey transformation two face little pat dont know batman totally different voice bruce wayne purpose think found one editing error gordon end talk hard cover harvey two face murder including two cop harvey let crooked cop ramirez live knocked lived gordon batman plan cover harvey crime would never worked would known happened scene wrongly includedscripted id recommend one better film made since turn century also blockbuster,positive
